,minutes,station,elevation
0,0,0,0.0
1,87,CALSPHERE 4A,22.07900300992259
2,87,CALSPHERE 4A,22.079003009922612
3,88,CALSPHERE 4A,31.353379445979698
4,88,CALSPHERE 4A,31.35337944597969
5,89,CALSPHERE 4A,39.309131265887494
6,89,CALSPHERE 4A,39.30913126588747
7,90,CALSPHERE 4A,45.601965920202574
8,90,CALSPHERE 4A,45.60196592020254
9,91,CALSPHERE 4A,46.22914414977115
10,91,CALSPHERE 4A,46.22914414977114
11,92,CALSPHERE 4A,40.57105204526942
12,92,CALSPHERE 4A,40.57105204526941
13,93,CALSPHERE 4A,32.567105904204766
14,93,CALSPHERE 4A,32.56710590420477
15,94,CALSPHERE 4A,25.00481850874996
16,94,CALSPHERE 4A,25.004818508749977
17,95,CALSPHERE 4A,18.588695408623792
18,95,CALSPHERE 4A,18.58869540862378
19,96,CALSPHERE 4A,13.228123573328695
20,96,CALSPHERE 4A,13.228123573328702
21,26,RIGIDSPHERE 2 (LCS 4),44.172901820679684
22,26,RIGIDSPHERE 2 (LCS 4),44.17290182067967
23,27,RIGIDSPHERE 2 (LCS 4),47.47696663678279
24,27,RIGIDSPHERE 2 (LCS 4),47.47696663678286
25,28,RIGIDSPHERE 2 (LCS 4),29.040237672704638
26,28,RIGIDSPHERE 2 (LCS 4),29.040237672704677
27,29,RIGIDSPHERE 2 (LCS 4),19.007938037483015
28,29,RIGIDSPHERE 2 (LCS 4),19.007938037482997
29,30,RIGIDSPHERE 2 (LCS 4),12.497912593794664
30,30,RIGIDSPHERE 2 (LCS 4),12.49791259379468
31,87,CALSPHERE 4A,22.079003009922616
32,88,CALSPHERE 4A,31.353379445979716
33,89,CALSPHERE 4A,39.309131265887444
34,90,CALSPHERE 4A,45.60196592020257
35,91,CALSPHERE 4A,46.22914414977115
36,92,CALSPHERE 4A,40.571052045269454
37,93,CALSPHERE 4A,32.56710590420483
38,94,CALSPHERE 4A,25.00481850874996
39,95,CALSPHERE 4A,18.58869540862375
40,96,CALSPHERE 4A,13.228123573328707
41,26,RIGIDSPHERE 2 (LCS 4),44.17290182067966
42,27,RIGIDSPHERE 2 (LCS 4),47.47696663678278
43,28,RIGIDSPHERE 2 (LCS 4),29.040237672704613
44,29,RIGIDSPHERE 2 (LCS 4),19.007938037483022
45,30,RIGIDSPHERE 2 (LCS 4),12.49791259379469
46,5,FORTE,13.806843526668992
47,6,FORTE,25.835961179164702
48,7,FORTE,17.10139242684107
49,70,ORBCOMM FM04,32.35521200419605
50,71,ORBCOMM FM04,23.989519648978476
51,59,SWAS,15.91840089571644
