,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
3477,3000106897,ELS,WR9XMY,,2147817.0,Broadcast Sports International,,XD,Experimental Developmental,Experimental,Experimental,06/10/2021 00:00:00,07/18/2021 00:00:00,,2021-02-08 09:27:18,G,Unknown,A,Active,@,Unknown,B,Business,"Matthew Butler, 7455 Race Road",Hanover,MD,21076,,,Matthew Butler,Frequency Coordinator,,,,,,,,,,,,,,,Stafford,,,CT,3.0,227362.0,41.0,57.0,22.0,N,72.0,19.0,12.0,W,,,3000227362.0,227362.0,,,N,Non-Directional,,,,3000880374.0,880374.0,MO,,250.0,,2280.0,2290.0,MHz.,,3001461983.0,1461983.0,8M00D7W,
3478,3000106897,ELS,WR9XMY,,2147817.0,Broadcast Sports International,,XD,Experimental Developmental,Experimental,Experimental,06/10/2021 00:00:00,07/18/2021 00:00:00,,2021-02-08 09:27:18,G,Unknown,A,Active,@,Unknown,B,Business,"Matthew Butler, 7455 Race Road",Hanover,MD,21076,,,Matthew Butler,Frequency Coordinator,,,,,,,,,,,,,,,Stafford,,,CT,3.0,227362.0,41.0,57.0,22.0,N,72.0,19.0,12.0,W,,,3000227362.0,227362.0,,,N,Non-Directional,,,,3000880371.0,880371.0,MO,,250.0,,2260.0,2270.0,MHz.,,3001461980.0,1461980.0,8M00D7W,
3593,3000108163,ELS,WR9XUM,,3865771.0,"3G Wireless, LLC.",,XD,Experimental Developmental,Experimental,Experimental,04/30/2021 00:00:00,09/20/2021 00:00:00,,2021-04-08 14:29:34,G,Unknown,A,Active,@,Unknown,B,Business,"Greg Robinson, 501 McCormick Drive STE. B",Glen Burnie,MD,21061,,,Stephen Tobias,Frequency Coordinator,,,,,,,,,,,,,,,Shelton,MASON,MASON,WA,4.0,230834.0,47.0,15.0,20.0,N,123.0,11.0,25.0,W,,,3000230834.0,230834.0,,,N,Non-Directional,,,,3000890571.0,890571.0,MO,,100.0,,2272.0,2280.0,MHz.,0.002,3001478146.0,1478146.0,8M00D7W,
3594,3000108163,ELS,WR9XUM,,3865771.0,"3G Wireless, LLC.",,XD,Experimental Developmental,Experimental,Experimental,04/30/2021 00:00:00,09/20/2021 00:00:00,,2021-04-08 14:29:34,G,Unknown,A,Active,@,Unknown,B,Business,"Greg Robinson, 501 McCormick Drive STE. B",Glen Burnie,MD,21061,,,Stephen Tobias,Frequency Coordinator,,,,,,,,,,,,,,,Leeds,SHELBY,SHELBY,AL,3.8,230838.0,33.0,32.0,0.0,N,86.0,36.0,13.0,W,,,3000230838.0,230838.0,,,N,Non-Directional,,,,3000890585.0,890585.0,MO,,100.0,,2252.0,2260.0,MHz.,0.002,3001478160.0,1478160.0,8M00D7W,
3638,3000108283,ELS,WR9XYY,,26673301.0,Astra Space,,XT,Experimental Testing,Experimental,Experimental,08/01/2021 00:00:00,02/02/2022 00:00:00,,2021-05-04 16:18:27,G,Unknown,A,Active,@,Unknown,B,Business,"Ethan Pease, 1900 Skyhawk St.",Alameda,CA,94501,,,Ethan Pease,Director of Avionics,Ethan Pease,1900 Skyhawk St.,Alameda,CA,94501,XX,,,,,,,,,Kodiak,Kodiak Island,Kodiak Island,AK,5000.0,231155.0,57.0,25.0,52.0,N,152.0,21.0,16.0,W,,,3000231155.0,231155.0,,,N,Non-Directional,,,,3000891835.0,891835.0,MO,,6.31,,2209.84,2212.16,MHz.,2e-05,3001479994.0,1479994.0,2M32F1D,
3653,3000104411,ELS,WL2XGF,,29776275.0,"Red Six Aerospace, Inc.",,XT,Experimental Testing,Experimental,Experimental,03/22/2021 15:16:35,04/01/2022 00:00:00,,2021-03-22 15:16:35,G,Unknown,A,Active,C,Corporation,B,Business,"Derek Cedarbaum, 3225 Donald Douglas Loop South",Santa Monica,CA,90405,,,John Winch,Frequency Coordinator,,,,,,,,,,,,,,,Camarillo,VENTURA,VENTURA,CA,20.0,221518.0,34.0,13.0,4.0,N,119.0,6.0,46.0,W,,,3000221518.0,221518.0,,,N,Non-Directional,,,,3000863071.0,863071.0,MO,,13.0,,2280.0,,MHz.,0.002,3001431974.0,1431974.0,20M0D7W,
3778,3000106266,ELS,WG9XHP,,28285377.0,Space Exploration Technologies Corp. (SpaceX),,XT,Experimental Testing,Experimental,Experimental,01/25/2021 00:00:00,07/25/2021 00:00:00,,2021-01-22 16:36:42,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,225800.0,,,,N,,,,W,,,3000225800.0,225800.0,,,N,Non-Directional,,,,3000874370.0,874370.0,MO,,11.8,,2247.5,,MHz.,0.00023,3001453392.0,1453392.0,4M84F1D,
3782,3000106988,ELS,WG9XHP,,28285377.0,Space Exploration Technologies Corp. (SpaceX),,XT,Experimental Testing,Experimental,Experimental,02/28/2021 00:00:00,08/28/2021 00:00:00,,2021-02-23 15:38:47,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,227595.0,,,,N,,,,W,,,3000227595.0,227595.0,,,N,Non-Directional,,,,3000881306.0,881306.0,MO,,10.8,,2255.5,,MHz.,0.00023,3001463379.0,1463379.0,4M84F1D,
3820,3000107187,ELS,WG9XHP,,28285377.0,Space Exploration Technologies Corp. (SpaceX),,XT,Experimental Testing,Experimental,Experimental,03/07/2021 00:00:00,09/07/2021 00:00:00,,2021-03-02 10:49:03,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,,,,,,228131.0,,,,N,,,,W,,,3000228131.0,228131.0,,,N,Non-Directional,,,,3000882285.0,882285.0,MO,,9.4,,2232.5,,MHz.,0.00023,3001465240.0,1465240.0,4M14F1D,
3846,3000107251,ELS,WF9XGI,,28285377.0,Space Exploration Technologies Corp.,,XT,Experimental Testing,Experimental,Experimental,03/30/2021 00:00:00,09/30/2021 00:00:00,,2021-03-08 18:38:06,G,Unknown,A,Active,@,Unknown,B,Business,"Kristi Key, 1 Rocket Road",Hawthorne,CA,90250,,,Kristi Key,Ground Segment Administrator,Kristi Key,1 Rocket Road,Hawthorne,CA,90250,XX,,,,,,,,,Cape Canaveral,BREVARD,BREVARD,FL,,228286.0,28.0,36.0,30.0,N,80.0,36.0,15.0,W,,,3000228286.0,228286.0,,,Y,Directional,,,,3000882645.0,882645.0,MO,,193.0,,2216.0,,MHz.,0.001,3001465769.0,1465769.0,2M73F1D,
