,LICENSE_ID,SOURCE_SYSTEM,CALLSIGN,FACILITY_ID,FRN,LIC_NAME,COMMON_NAME,RADIO_SERVICE_CODE,RADIO_SERVICE_DESC,ROLLUP_CATEGORY_CODE,ROLLUP_CATEGORY_DESC,GRANT_DATE,EXPIRED_DATE,CANCELLATION_DATE,LAST_ACTION_DATE,LIC_STATUS_CODE,LIC_STATUS_DESC,ROLLUP_STATUS_CODE,ROLLUP_STATUS_DESC,ENTITY_TYPE_CODE,ENTITY_TYPE_DESC,ROLLUP_ENTITY_CODE,ROLLUP_ENTITY_DESC,LIC_ADDRESS,LIC_CITY,LIC_STATE,LIC_ZIP_CODE,LIC_ATTENTION_LINE,CONTACT_COMPANY,CONTACT_NAME,CONTACT_TITLE,CONTACT_ADDRESS1,CONTACT_ADDRESS2,CONTACT_CITY,CONTACT_STATE,CONTACT_ZIP,CONTACT_COUNTRY,CONTACT_PHONE,CONTACT_FAX,CONTACT_EMAIL,MARKET_CODE,MARKET_DESC,CHANNEL_BLOCK,LOC_TYPE_CODE,LOC_TYPE_DESC,LOC_CITY,LOC_COUNTY_CODE,LOC_COUNTY_NAME,LOC_STATE,LOC_RADIUS_OP,LOC_SEQ_ID,LOC_LAT_DEG,LOC_LAT_MIN,LOC_LAT_SEC,LOC_LAT_DIR,LOC_LONG_DEG,LOC_LONG_MIN,LOC_LONG_SEC,LOC_LONG_DIR,HGT_STRUCTURE,ASR_NUM,ANTENNA_ID,ANT_SEQ_ID,ANT_MAKE,ANT_MODEL,ANT_TYPE_CODE,ANT_TYPE_DESC,AZIMUTH,BEAMWIDTH,POLARIZATION_CODE,FREQUENCY_ID,FREQ_SEQ_ID,FREQ_CLASS_STATION_CODE,FREQ_CLASS_STATION_DESC,POWER_ERP,POWER_OUTPUT,FREQUENCY_ASSIGNED,FREQUENCY_UPPER_BAND,UNIT_OF_MEASURE,TOLERANCE,EMISSION_ID,EMISSION_SEQ_ID,EMISSION_CODE,GROUND_ELEVATION
1000,3000074337,ELS,WH2XMD,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,12/01/2016 00:00:00,10/03/2016 10:50:43,,2016-10-03 10:50:43,E,Unknown,E,Expired,C,Corporation,B,Business,Freq Mgt Svcs M/C: 2T-22,Seattle,WA,98124-2207,,,"Garcia, Jr. John E.",Spectrum Manager,Freq Mgt Svcs M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Germantown,,,MD,0.1,138906.0,39.0,13.0,16.0,N,77.0,13.0,23.0,W,,,3000138906.0,138906.0,,,N,Non-Directional,,,,3000571848.0,571848.0,FX,,1.0,,8300.0,,MHz.,,3000929611.0,929611.0,10K0F0N,
2730,3000087182,ELS,WI2XTA,,26043968.0,Space Exploration Technologies Corp.,,XT,Experimental Testing,Experimental,Experimental,11/13/2018 00:00:00,11/13/2018 08:54:18,,2018-11-13 08:54:18,E,Unknown,E,Expired,C,Corporation,B,Business,"Patricia Cooper, 1030 15th St NW, Suite 220",Washington,DC,20005,,,Christopher Wilkins,Engineer,,,,,,XX,,,,,,,,,NONGEOSTATIONARY,,,SP,,173783.0,,,,N,,,,W,,,3000173783.0,173783.0,,,N,Non-Directional,,,T,3000699957.0,699957.0,MO,,7.72,,8027.5,8087.5,MHz.,0.001,3001163448.0,1163448.0,1M16G1D,
9579,3000074692,ELS,WH2XCX,,18379230.0,Laurel Technologies Partnership,,XD,Experimental Developmental,Experimental,Experimental,11/01/2016 00:00:00,10/03/2016 08:00:37,,2016-10-03 08:00:37,E,Unknown,E,Expired,P,Partnership,B,Business,"Jim Kijesky, 6200 118th Ave. N",Largo,FL,33773,,,Joe Natalino,Lead Project Engineer,Jim Kijesky,6200 118th Ave. N,Largo,FL,33773,XX,,,,,,,,,Largo,,,FL,5.0,139777.0,27.0,52.0,41.0,N,82.0,43.0,18.0,W,,,3000139777.0,139777.0,,,Y,Directional,,,,3000575478.0,575478.0,MO,,16.0,,8137.5,8400.0,MHz.,,3000934988.0,934988.0,6M00G7W,
10653,3000088745,ELS,WP9XCA,,15145931.0,HERA Systems Incorporated,,XT,Experimental Testing,Experimental,Experimental,08/20/2019 00:00:00,08/20/2019 11:49:28,,2019-08-20 11:49:28,E,Unknown,E,Expired,@,Unknown,B,Business,"David D. Squires, 7013 Realm Drive, Suite B",San Jose,CA,95119,,,Michael Miller,Licensing Coordinator,,,,,,,,,,,,,,,NONGEOSTATIONARY,,,SP,,177921.0,,,,N,,,,W,,,3000177921.0,177921.0,,,Y,Directional,,,,3000714164.0,714164.0,MO,,28.6,,8160.0,8340.0,MHz.,1e-05,3001185201.0,1185201.0,100MG1D,
11818,3000103419,ELS,WQ9XZJ,,24920977.0,Microsoft Infrastructure Group LLC,,XT,Experimental Testing,Experimental,Experimental,09/02/2020 00:00:00,09/03/2020 12:55:47,,2020-09-03 12:55:47,E,Unknown,E,Expired,@,Unknown,B,Business,"Mr. Gunnar Halley, One Microsoft Way",Redmond,WA,98052,,,Gunnar Halley,Assistant General Counsel,,,,,,,,,,,,,,,Brewster (Receive-On,,,WA,,220204.0,48.0,8.0,49.0,N,119.0,42.0,4.0,W,,,3000220204.0,220204.0,,,Y,Directional,,,,3000859364.0,859364.0,FX,,30.56,,8155.0,8285.0,MHz.,,3001425164.0,1425164.0,130MG7D,
17870,3000075346,ELS,WK9XDU,,1821875.0,Georgia Institute of Technology,GEORGIA INSTITUTE OF TECHNOLOGY,XT,Experimental Testing,Experimental,Experimental,11/30/2016 00:00:00,11/28/2016 10:26:48,,2016-11-28 10:26:48,E,Unknown,E,Expired,@,Unknown,B,Business,"Joy Lupo, Office of Legal Affairs",Atlanta,GA,30332-0495,,,Alyssa Daya,Senior Research Scientist,Joy Lupo,Office of Legal Affairs,Atlanta,GA,30332-0495,XX,,,,,,,,,Smyrna,COBB,COBB,GA,,141716.0,33.0,54.0,42.0,N,84.0,31.0,35.0,W,,,3000141716.0,141716.0,,,Y,Directional,,,,3000581584.0,581584.0,FX,,1.0,,8350.0,8470.0,MHz.,,3000951225.0,951225.0,4M00L7D,
18842,3000089455,ELS,WJ2XXY,,24657686.0,Systems & Technology Research,,XC,Experimental Contract,Experimental,Experimental,05/14/2019 08:25:30,06/13/2019 14:27:11,,2019-06-13 14:27:11,E,Unknown,E,Expired,P,Partnership,B,Business,"Nathan Merritt, 600 W Cummings Park, Suite 6500",Woburn,MA,01801,,,Nathan Merritt,Technical Staff,Laura Vertatschitsch,"600 W Cummings Park, Suite 6500",Woburn,MA,01801,XX,,,,,,,,,Boston,,,MA,112.0,179733.0,42.0,21.0,46.0,N,71.0,0.0,23.0,W,,,3000179733.0,179733.0,,,Y,Directional,,,,3000720812.0,720812.0,MO,,1.55,,8100.0,8900.0,MHz.,0.1,3001195634.0,1195634.0,800MQ3N,
25783,3000072800,ELS,WK9XDU,,1821875.0,Georgia Institute of Technology,GEORGIA INSTITUTE OF TECHNOLOGY,XT,Experimental Testing,Experimental,Experimental,07/18/2016 00:00:00,07/15/2016 15:22:17,,2016-07-15 15:22:17,E,Unknown,E,Expired,@,Unknown,B,Business,"Joy Lupo, Office of Legal Affairs",Atlanta,GA,30332-0495,,,Alyssa Daya,Senior Research Scientist,,,,,,,,,,,,,,,Smyrna,COBB,COBB,GA,,134841.0,33.0,54.0,42.0,N,84.0,31.0,35.0,W,,,3000134841.0,134841.0,,,Y,Directional,,,,3000563338.0,563338.0,FX,,1.0,,8100.0,8110.0,MHz.,,3000915427.0,915427.0,4M00L7D,
27657,3000087182,ELS,WI2XTA,,26043968.0,Space Exploration Technologies Corp.,,XT,Experimental Testing,Experimental,Experimental,11/13/2018 00:00:00,11/13/2018 08:54:18,,2018-11-13 08:54:18,E,Unknown,E,Expired,C,Corporation,B,Business,"Patricia Cooper, 1030 15th St NW, Suite 220",Washington,DC,20005,,,Christopher Wilkins,Engineer,,,,,,XX,,,,,,,,,NONGEOSTATIONARY,,,SP,,173783.0,,,,N,,,,W,,,3000173783.0,173783.0,,,N,Non-Directional,,,T,3000699958.0,699958.0,MO,,19.3,,8027.5,8087.5,MHz.,0.001,3001163449.0,1163449.0,11M6G1D,
34314,3000074337,ELS,WH2XMD,,1583483.0,The Boeing Company,,XT,Experimental Testing,Experimental,Experimental,12/01/2016 00:00:00,10/03/2016 10:50:43,,2016-10-03 10:50:43,E,Unknown,E,Expired,C,Corporation,B,Business,Freq Mgt Svcs M/C: 2T-22,Seattle,WA,98124-2207,,,"Garcia, Jr. John E.",Spectrum Manager,Freq Mgt Svcs M/C: 2T-22,,Seattle,WA,98124-2207,XX,,,,,,,,,Germantown,,,MD,0.1,138905.0,39.0,12.0,7.0,N,77.0,15.0,46.0,W,,,3000138905.0,138905.0,,,N,Non-Directional,,,,3000571835.0,571835.0,FX,,1.0,,8300.0,,MHz.,,3000929598.0,929598.0,10K0F0N,
